xCa= 1 xC=0 xO=8 xMg=5 xCl=2
 xCalcite=4 xDolomite=5 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
7	7.11794	0.0373338	0.0255663	0.545187	38.9452	0.390463	1000	1.00356
8	7.11746	0.0373812	0.0255188	0.545187	38.9452	0.390463	1000	1.00043
9	7.11741	0.0373871	0.0255129	0.545187	38.9452	0.390463	1000	1.00004
10	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
11	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
12	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
13	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
14	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
15	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
16	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
17	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
18	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
19	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
20	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
21	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
22	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
23	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
24	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
25	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
26	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
27	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
28	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
29	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
30	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
31	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
32	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
33	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
34	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
35	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
36	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
37	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
38	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
39	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
40	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
41	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
42	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
43	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
44	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
45	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
46	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
47	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
48	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
49	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
50	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
